0	0.00816532
1	0.0083515
2	0.00943898
3	0.00985291
4	0.00660734
5	0.00650624
6	0.00711533
7	0.000569855
8	0.0017501
9	0.00593288
10	0.00313828
11	0.007888
12	0.00420271
13	0.00867992
14	0.000481366
15	0.00427478
16	0.00991305
17	0.00404069
18	0.00879023
19	0.000875884
20	0.000308552
21	0.00323188
22	0.00172112
23	0.00633119
24	0.00655279
25	0.00514633
26	0.00698337
27	0.00910618
28	0.0031338
29	0.0075958
30	0.0049896
31	0.00490849
32	0.00329459
33	0.00666017
34	0.00639639
35	0.00950982
36	0.00610727
37	0.00557884
38	0.0018725
39	0.00889746
40	0.00606672
41	0.00110333
42	0.00992154
43	0.00154972
44	0.00278631
45	0.00915935
46	0.00564202
47	0.00680989
48	0.00941069
49	0.000557651
50	0.00354338
51	0.00729047
52	0.00734458
53	0.000590642
54	0.000603003
55	0.000341899
56	5.49027e-05
57	4.35748e-05
58	0.00981003
59	0.00185249
60	0.00526759
61	0.000948535
62	0.00912958
63	0.00753826
